title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Tommib,Squarepusher,abstract,2001,2021‑04‑05,90,14,35,-16,9,4,79,95,3,47
Transmission 01,Wojciech Golczewski,epicore,2016,2021‑04‑05,127,67,37,-12,10,3,203,25,4,43
1983 - Main Theme,Sinoia Caves,spacewave,2014,2021‑04‑05,137,32,29,-15,15,3,200,0,3,41
White Cyclosa,Boards of Canada,ambient,2013,2021‑04‑05,139,29,85,-15,6,36,193,20,19,37
The Nightshift,Symmetry,synthwave,2011,2021‑04‑05,86,24,44,-19,11,9,52,20,5,36
The Escape Ship (From Doomsday Vault Original Game Soundtrack),Jeremy Cullen,,2020,2021‑03‑22,160,32,46,-16,12,22,186,44,3,36
Wanna Fight,Cliff Martinez,soundtrack,2013,2021‑04‑05,180,40,40,-16,14,12,290,73,4,36
The Price of Failure,Perturbator,cyberpunk,2012,2021‑04‑05,79,27,7,-9,8,4,381,81,4,34
Transmission 13,Wojciech Golczewski,epicore,2018,2021‑04‑05,135,26,44,-15,11,8,164,62,4,31
Aftermath,Magic Sword,synthwave,2020,2021‑03‑10,117,6,38,-19,11,3,151,72,4,30
Fractals,Djimmee Music,,2021,2021‑04‑01,136,55,60,-11,33,22,262,60,3,30
Aurus - Ambient Mix,Dom Capuano,,2021,2021‑03‑05,67,10,35,-18,13,7,414,87,5,29
Peaceful Morning,Waveshaper,spacewave,2019,2021‑04‑01,170,36,27,-11,12,17,64,96,5,28
Union of Worlds,Majeure,berlin school,2015,2021‑04‑05,124,38,26,-12,10,3,546,76,3,27
Closed Circuit,Kaitlyn Aurelia Smith,ambient,2016,2021‑04‑05,127,32,29,-20,15,3,325,83,5,26
Flashback,Night Raptor,spacewave,2017,2021‑04‑05,66,26,20,-15,6,4,240,96,4,25
The Oh of Pleasure - Remastered,Ray Lynch,new age,1998,2021‑04‑05,103,30,27,-18,11,6,322,35,4,24
A New World,Martin Ahm Nielsen,synthwave,2015,2021‑04‑05,180,29,20,-18,9,8,226,5,4,24
Last Farewell,Tonebox,dark clubbing,2016,2021‑04‑05,105,20,35,-20,11,3,164,91,4,24
Mono No Aware,Hello Meteor,synthwave,2017,2021‑04‑05,100,25,44,-23,12,4,216,95,4,24
Aiden's Weird Experience,Jason Brandt,,2021,2021‑03‑14,82,31,30,-17,12,4,102,23,4,24
3 Minutes to Sleep,Raf21,,2021,2021‑03‑19,138,5,16,-29,10,3,192,84,4,23
Sky At Night,Lucy In Disguise,synthwave,2016,2021‑04‑05,128,66,28,-13,10,3,120,68,4,22
Dreamers and Misfits,Paul Haslinger,epicore,2019,2019‑08‑02,116,12,63,-28,9,7,188,3,7,22
Synthetic Sunset,Fabrizio Brugnera,modular synth,2020,2020‑12‑08,86,32,9,-12,21,3,288,77,4,21
Nebulae,Paramita Ambient,,2021,2021‑03‑22,78,6,16,-28,7,4,340,92,4,21
Breathing Space,Juan Maria Solare,neo-classical,2021,2021‑04‑05,76,8,8,-22,10,2,300,97,5,21
We're Still Here,Quiet is the new Loud,italian post-rock,2021,2021‑04‑03,70,21,15,-20,7,3,226,85,4,20
A Beacon from Home,Dynatron,spacewave,2016,2021‑04‑05,77,34,32,-10,12,4,289,26,3,20
Rewind,Donbor,dark clubbing,2020,2021‑04‑05,200,60,57,-18,7,29,122,97,7,20
Genesis,Justin OH,electro house,2020,2020‑12‑18,150,25,18,-15,30,3,142,1,3,19
Cloudloss,Steve Hauschildt,ambient,2019,2021‑02‑05,110,36,19,-16,11,4,225,91,4,19
Farthest Reaches,D/A/D,synthwave,2013,2021‑04‑05,128,23,30,-15,11,5,155,78,4,19
Farewell Zara (Outro),Kalax,synthwave,2015,2021‑04‑05,80,18,14,-11,11,4,137,0,4,17
The Abyss,Earmake,synthwave,2019,2019‑08‑02,140,32,23,-16,10,4,414,31,4,16
Map to the Stars (Part II),Baldocaster,spacewave,2019,2020‑01‑22,105,35,46,-14,7,6,112,81,3,16
Departure,Christof R Davis,,2021,2021‑04‑14,59,12,15,-21,11,4,154,92,3,16
Let Me In,Wojciech Golczewski,epicore,2017,2021‑04‑05,70,15,33,-16,8,4,206,90,4,15
Arrival,Mitch Murder,filter house,2013,2021‑04‑05,121,34,47,-21,38,10,132,73,3,15
Who Am I,Stilz,spacewave,2018,2021‑04‑05,154,35,56,-17,8,89,267,94,4,15
Nostalgic Dreams,Kyddiekafka,wave,2018,2021‑04‑05,62,32,17,-14,12,3,169,37,4,14
The Void,Sekond Prime,,2018,2021‑04‑05,124,22,17,-15,11,3,658,69,4,14
Genesis (Intro),Shikimo,spacewave,2017,2021‑04‑05,95,15,28,-20,11,3,126,80,5,14
Idle Mind,Empyre,spacewave,2016,2021‑04‑05,95,14,23,-18,8,6,187,99,3,14
Heartland Romance,Absolute Valentine,dark clubbing,2021,2021‑02‑25,72,33,29,-9,5,9,74,80,4,13
Patterns in the Sky,Tineidae,abstract idm,2020,2021‑04‑01,131,50,20,-17,67,11,422,89,4,13
Returning To Earth,OGRE Sound,cyberpunk,2020,2021‑03‑10,90,8,10,-22,9,3,165,92,5,13
Endless Night,Code Elektro,synthwave,2019,2021‑04‑08,120,51,50,-15,11,15,162,65,4,13
Binary Star,Stilz,spacewave,2019,2020‑12‑08,88,23,13,-18,7,3,206,81,4,12
Astral Objects,Norvik,,2021,2021‑02‑25,78,15,19,-24,13,8,286,93,3,12
Ascent,Ocoeur,abstract idm,2020,2021‑03‑10,146,20,32,-13,9,3,302,96,3,12
Desolation (Interval),Shikimo,spacewave,2019,2021‑03‑10,90,21,23,-11,8,3,131,68,4,12
Exitium,Wojciech Golczewski,epicore,2019,2021‑04‑01,140,42,15,-8,8,7,166,1,3,12
Ascension,Darkest,,2018,2021‑04‑01,113,36,17,-10,11,6,360,4,4,12
Perdido Encontrado,Der Waldläufer,,2018,2021‑04‑01,133,42,16,-13,67,3,504,29,4,11
Interlude Men of the Stars,COSMO COCKTAIL,spacewave,2017,2021‑04‑05,89,18,19,-20,11,10,147,89,4,11
The Essence of Darkness,Walter Mmari,,2019,2021‑03‑22,132,18,33,-16,11,17,112,89,4,11
Caladan,Bluetech,downtempo,2019,2021‑03‑22,177,24,25,-12,8,44,272,99,4,11
Interference (Interlude),morgan willis,synthwave,2019,2021‑03‑22,126,27,37,-12,21,62,79,26,4,11
New Things Brought by the Infinite Universe,Ofer Hamerman,,2021,2021‑03‑01,140,32,57,-15,25,4,250,48,3,10
Midafternoon Dream,Paprtape,,2021,2021‑03‑05,181,5,13,-25,10,4,252,94,4,10
CPT Symmetry,Ameriek,,2020,2021‑03‑10,140,15,19,-21,10,3,352,90,4,10
Legend of the Okimrah,Future Fate,spacewave,2018,2019‑08‑02,100,33,28,-16,11,6,152,72,4,10
Helios,World Complete,spacewave,2018,2021‑04‑05,100,45,14,-11,29,8,221,59,3,10
Solitude,Stilz,spacewave,2016,2021‑04‑05,145,9,47,-21,10,12,200,96,13,10
Go to Sleep (Ocean Dreams),DARKPYRAMID,hardvapour,2015,2021‑04‑05,123,35,17,-17,10,3,380,77,9,10
An Evaluation Of Unexplained Events,Repeated Viewing,horror synth,2019,2021‑03‑05,102,10,37,-20,11,4,133,91,4,10
Aegueus,Makeup And Vanity Set,synthwave,2020,2021‑04‑01,184,38,49,-14,12,23,610,86,5,10
Disappearance,Occams Laser,dark clubbing,2020,2021‑03‑22,110,29,59,-16,10,75,199,96,3,9
Trove Eddies,Ben Neill,,2021,2021‑03‑16,176,21,36,-21,10,5,440,93,3,9
Genesis,Baldocaster,spacewave,2020,2021‑04‑01,124,38,51,-14,11,3,192,53,4,8
Raumgleiter,Nikita Andvari,,2020,2021‑03‑10,73,15,6,-18,10,3,264,96,4,8
Menu,Thomas Barrandon,synthwave,2017,2021‑04‑05,99,60,33,-11,13,4,182,32,4,8
Desolated Machinery,Atroxity,,2021,2021‑03‑22,60,4,16,-32,8,7,290,71,3,8
A Word for the Silent,Blue Crystal Star,,2021,2021‑04‑01,61,28,6,-19,11,4,269,86,4,8
Laugarvatn,Jóel Sigurðsson,,2020,2021‑01‑18,140,16,14,-20,11,4,250,84,4,7
Antarctica,Oscillian,cyberpunk,2018,2021‑04‑05,148,43,30,-17,10,4,311,40,4,7
